Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	13121	109.342	117179	976.492	120	13121	109.342	117179	976.492
120	560	222364	397.079	449911	803.413	560	222364	397.079	449911	803.413
560	1820	1284884	705.98	836287	459.498	1820	1284884	705.98	836287	459.498
1820	4368	3771280	863.388	1009636	231.144	4368	3771280	863.388	1009636	231.144
4368	8008	7433702	928.284	1017355	127.042	8008	7433702	928.284	1017355	127.042
8008	11431	10935979	958.456	904109	79.2383	11410	10915427	956.654	903234	79.1616
11410	12137	11778118	1107.8	668528	62.8789	10632	10315300	970.213	589824	55.4763
10632	7523	7350809	1581.16	324086	69.7109	4649	4538025	976.129	208323	44.8103
4649	1928	1889269	2588.04	72951	99.9329	730	713405	977.267	30963	42.4151
730	123	120073	3873.32	5412	174.581	31	30059	969.645	1711	55.1935
31	3	2911	2911	162	162	1	967	967	59	59
1	0	0	nan	0	nan	0	0	nan	0	nan
