Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	14894	124.117	237412	1978.43	120	14894	124.117	237412	1978.43
120	560	296201	528.93	1005140	1794.89	560	296201	528.93	1005140	1794.89
560	1820	2073258	1139.15	2264707	1244.34	1820	2073258	1139.15	2264707	1244.34
1820	4368	6761643	1548	3142955	719.541	4368	6761643	1548	3142955	719.541
4368	8008	13960302	1743.29	3452283	431.104	8008	13960302	1743.29	3452283	431.104
8008	11440	21011529	1836.67	3253931	284.435	11440	21011529	1836.67	3253931	284.435
11440	12866	24271893	1888.42	2611941	203.216	12853	24246941	1886.48	2609998	203.065
12853	11186	21433957	2019.98	1712369	161.377	10611	20335006	1916.41	1620695	152.737
10611	6701	12967996	2354.39	805360	146.216	5508	10661714	1935.68	658441	119.543
5508	2363	4603480	2551.82	230557	127.803	1804	3515402	1948.67	174414	96.6818
1804	453	886709	2456.26	36785	101.898	361	706956	1958.33	28687	79.4654
361	46	90413	2260.32	3068	76.7	40	78649	1966.22	2610	65.25
40	2	3947	1973.5	104	52	2	3947	1973.5	104	52
2	0	0	nan	0	nan	0	0	nan	0	nan
