Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	11041	92.0083	56946	474.55	120	11041	92.0083	56946	474.55
120	560	151918	271.282	186971	333.877	560	151918	271.282	186971	333.877
560	1820	741564	407.453	282260	155.088	1820	741564	407.453	282260	155.088
1820	4368	2022924	463.124	289370	66.2477	4368	2022924	463.124	289370	66.2477
4368	8004	3868257	484.44	251108	31.4475	7985	3858990	483.28	250655	31.3907
7985	10141	4979295	602.383	176137	21.3086	8266	4053719	490.409	152621	18.4637
8266	5924	2926520	1109.79	69466	26.3428	2637	1299830	492.92	36348	13.7838
2637	874	432800	2080.77	8266	39.7404	208	102797	494.216	2362	11.3558
208	16	7938	2646	123	41	3	1484	494.667	32	10.6667
3	0	0	nan	0	nan	0	0	nan	0	nan
